,room,room_type,campus
413,М-110,лаб,"Проспект Вернадского, д.86"
414,МП-1А-61329,,"ул. Стромынка, 20"
415,О-217,комп,"Проспект Вернадского, д.86"
416,О-314,лаб,"Проспект Вернадского, д.86"
417,О-315,лаб,"Проспект Вернадского, д.86"
418,С-20329А-342,,"ул. Малая Пироговская, д.1"
419,Т-125,ауд,"Проспект Вернадского, д.86"
420,Т-505,лаб,"Проспект Вернадского, д.86"
421,Т-506,лаб,"Проспект Вернадского, д.86"
422,ФОК,физ,"ул. Стромынка, 20"
423,ФОК,физ,"Проспект Вернадского, д.86"
424,ФОК,физ,"Проспект Вернадского, д.78"
425,ауд. 183.2,,"ул. Стромынка, 20"
426,ауд. 183.3,,"ул. Стромынка, 20"
427,ауд. 188.1,,"ул. Стромынка, 20"
428,ауд. 188.2,,"ул. Стромынка, 20"
429,ауд. 188.2ауд. 188.1,,"ул. Стромынка, 20"
430,ауд. 188.3,,"ул. Стромынка, 20"
431,ауд. 442,,"ул. Стромынка, 20"
432,ауд. 446,,"ул. Стромынка, 20"
433,ауд. 459,,"ул. Стромынка, 20"
434,ауд. 463,,"ул. Стромынка, 20"
435,ауд. №20,,"ул. Стромынка, 20"
436,ауд. №3,,"ул. Стромынка, 20"
437,ауд. №9,,"ул. Стромынка, 20"
438,ивц-101,комп,"Проспект Вернадского, д.78"
439,ивц-101,,
440,ивц-102,комп,"Проспект Вернадского, д.78"
441,ивц-103,комп,"Проспект Вернадского, д.78"
442,ивц-104,комп,"Проспект Вернадского, д.78"
443,ивц-105-1,комп,"Проспект Вернадского, д.78"
444,ивц-105-2,комп,"Проспект Вернадского, д.78"
445,ивц-106,комп,"Проспект Вернадского, д.78"
446,ивц-107,комп,"Проспект Вернадского, д.78"
447,ивц-108,комп,"Проспект Вернадского, д.78"
448,ивц-109,комп,"Проспект Вернадского, д.78"
449,ивц-110,комп,"Проспект Вернадского, д.78"
450,ивц-116,комп,"Проспект Вернадского, д.78"
451,каф,,
452,каф.,,
453,комп. №6,,"ул. Стромынка, 20"
454,,,
